ENTITY,YEAR,ADULT_LITERACY,YOUTH_LITERACY_M,YOUTH_LITERACY_F,OWID_REGION
Greece,1991,93.0,99.0,99.0,Europe
Greece,2001,96.0,99.0,99.0,Europe
Greece,2009,94.0,100.0,99.0,Europe
Grenada,1970,98.0,99.0,99.0,North America
Guadeloupe,1982,90.0,98.0,99.0,North America
Guam,1980,96.0,95.0,96.0,Oceania
Guam,1990,99.0,100.0,100.0,Oceania
Guatemala,1994,64.0,82.0,71.0,North America
Guatemala,2000,64.0,87.7,76.3,North America
Guatemala,2002,69.0,86.0,78.0,North America
Guatemala,2006,69.0,91.4,84.8,North America
Guatemala,2012,78.0,95.0,92.0,North America
Guatemala,2013,77.0,94.0,90.0,North America
Guatemala,2014,81.0,94.9,91.9,North America
Guatemala,2015,80.19509,96.67467,93.61574,North America
Guatemala,2018,81.0,95.0,94.0,North America
Guatemala,2022,83.03117,95.85535,94.21057,North America
Guatemala,2023,83.03117,97.3,96.7,North America
Guinea,1996,21.0,44.0,13.0,Africa
Guinea,2003,30.0,59.0,34.0,Africa
Guinea,2005,30.0,64.19,24.12,Africa
Guinea,2010,25.0,38.0,22.0,Africa
Guinea,2012,25.0,71.69,37.24,Africa
Guinea,2014,32.0,57.0,37.0,Africa
Guinea,2016,32.0,57.0,46.62764,Africa
Guinea,2018,40.0,70.0,43.0,Africa
Guinea-Bissau,1979,20.0,60.0,18.0,Africa
Guinea-Bissau,2000,41.0,75.0,46.0,Africa
Guinea-Bissau,2006,41.0,75.0,35.78,Africa
Guinea-Bissau,2014,41.0,75.0,100.0,Africa
Guinea-Bissau,2019,54.88232,81.83359,68.58931,Africa
Guinea-Bissau,2022,63.93413,86.19711,78.26567,Africa
Guyana,2006,85.63835,95.71,100.0,South America
Guyana,2009,85.63835,95.71,95.91,South America
Guyana,2014,85.63835,95.71,100.0,South America
Guyana,2020,85.63835,99.26508,99.02955,South America
Haiti,1982,35.0,51.0,51.0,North America
Haiti,2003,59.0,83.0,81.0,North America
Haiti,2012,59.0,86.55,84.3,North America
Haiti,2017,68.00986,88.38471,89.32992,North America
Honduras,2001,80.0,89.7,92.7,North America
Honduras,2004,80.0,90.2,91.5,North America
Honduras,2005,80.0,89.9,93.6,North America
Honduras,2007,84.0,93.0,95.0,North America
Honduras,2009,84.0,92.6,95.2,North America
Honduras,2010,85.0,94.4,95.9,North America
Honduras,2011,85.0,94.9,96.9,North America
Honduras,2012,85.0,94.0,96.0,North America
Honduras,2013,85.0,93.9,96.3,North America
Honduras,2014,87.0,95.0,96.3,North America
Honduras,2015,88.0,95.0,97.0,North America
Honduras,2016,89.0,94.9,97.2,North America
